Honorific,Salutation,Post Nominals,Surname,First Name,Other Name,Preferred Name,Initials,Electorate,State,Political Party,Gender,Telephone,Fax,Electorate Address Line 1,Electorate Address Line 2,Electorate Suburb,Electorate State,Electorate PostCode,Electorate Telephone,Electorate Fax,Electorate TollFree,Electorate Postal Address,Electorate Postal Suburb,Electorate Postal State,Electorate Postal Postcode,Label Address,Label Suburb,Label State,Label Postcode,Parliamentary Title,Ministerial Title
Mr,Mr,MP,Perrett,Graham,Douglas,,G. D.,Moreton,QLD,ALP,Male,(02) 6277 4542,,"Suite 106, Sunnybank Times Square",250 McCullough Street,Sunnybank,QLD,4109,(07) 3344 2622,(07) 3344 4276,,"PO Box 419, Sunnybank Plaza",Sunnybank,QLD,4109,,,,,,
Mrs,Mrs,MP,Phillips,Fiona,Evon,Fiona,F. E.,Gilmore,NSW,ALP,Female,(02) 6277 4372,,Unit 3,59 Junction Street,Nowra,NSW,2541,(02) 4423 1782,,,PO Box 1009,Nowra,NSW,2541,,,,,,
Mr,Mr,MP,Pike,Henry,Jon,Henry,H. J.,Bowman,QLD,LNP,Male,(02) 6277 4874,,10/32 Middle Street,,Cleveland,QLD,4163,(07) 3821 0155,,,,,,,,,,,,
Hon,Mr,MP,Pitt,Keith,John,Keith,K. J.,Hinkler,QLD,LNP,Male,(02) 6277 4243,,41 Woongarra Street,,Bundaberg,QLD,4670,(07) 4152 0744,(07) 4153 1752,,PO Box 535,Bundaberg,QLD,4670,,,,,,
Hon,Ms,MP,Plibersek,Tanya,Joan,,T. J.,Sydney,NSW,ALP,Female,(02) 6277 7920,,1a Great Buckingham Street (cnr. Cleveland Street),Redfern,Sydney,NSW,2016,(02) 9379 0700,(02) 9379 0701,,PO Box  2676,Strawberry Hills,NSW,2012,,,,,,Minister for the Environment and Water
Hon,Ms,MP,Price,Melissa,Lee,,M. L.,Durack,WA,LP,Female,(02) 6277 4315,,2B/209 Foreshore Drive,,Geraldton,WA,6530,(08) 9964 2195,(08) 9921 7990,,2B/209 Foreshore Drive,Geraldton,WA,6530,,,,,Opposition Whip,
Mr,Mr,MP,Rae,Sam,Thomas,Sam,S. T.,Hawke,VIC,ALP,Male,(02) 6277 4924,,,,,,,,,,,,,,,,,,,
Mr,Mr,MP,Ramsey,Rowan,Eric,,R. E.,Grey,SA,LP,Male,(02) 6277 4967,,104 Ellen St,,Port Pirie,SA,5540,(08) 8633 1744,(08) 8633 1749,1300 301 742,PO Box 296,Port Pirie,SA,5540,,,,,Opposition Whip,
Dr,Dr,MP,Reid,Gordon,James,Gordon,G. J.,Robertson,NSW,ALP,Male,(02) 6277 4901,,Suite 3.04 & 3.05,"Level 3, 69 Central Coast Highway",West Gosford,NSW,2250,(02) 4322 2400,,,,,,,,,,,,
Mr,Mr,MP,Repacholi,Daniel,Peter,Dan,D. P.,Hunter,NSW,ALP,Male,(02) 6277 4930,,3 Edward Street,,Cessnock,NSW,2325,(02) 4991 1022,,,PO Box 526,Cessnock,NSW,2325,,,,,,
Hon,Ms,MP,Rishworth,Amanda,Louise,,A. L.,Kingston,SA,ALP,Female,(02) 6277 7560,,232 Main South Road,,Morphett Vale,SA,5162,(08) 8186 2588,(08) 8186 2688,1300 797 211,232 Main South Road ,Morphett Vale,SA,5162,,,,,,Minister for Social Services
Ms,Ms,MP,Roberts,Tracey,Gardner,Tracey,T. G.,Pearce,WA,ALP,Female,(02) 6277 4921,,"Shop 3, Kingsway City Shopping Centre",168 Wanneroo Road,Madeley,WA,6065,(08) 6500 6499,,,,,,,,,,,,
Hon,Mr,MP,Robert,Stuart,Rowland,,S. R.,Fadden,QLD,LNP,Male,(02) 6277 4347,,"Unit 1, 110 Brisbane Road",,Labrador,QLD,4215,(07) 5500 5919,(07) 5500 5484,,PO Box 733,Biggera Waters,QLD,4216,,,,,,
Hon,Ms,MP,Rowland,Michelle,Anne,Michelle,M. A.,Greenway,NSW,ALP,Female,(02) 6277 7480,,Suite 101C,130 Main Street,Blacktown,NSW,2148,(02) 9671 4780,(02) 9671 5147,,PO Box 8525,Blacktown,NSW,2148,,,,,,Minister for Communications
Ms,Ms,MP,Ryan,Joanne,Catherine,Joanne,J. C.,Lalor,VIC,ALP,Female,(02) 6277 4083,,Tenancies 3 & 4,203-205 Watton Street,Werribee,VIC,3030,(03) 9742 5800,(03) 9741 6213,,"Tenancies 3 & 4, 203-205 Watton Street",Werribee,VIC,3030,,,,,Chief Government Whip,
Dr,Dr,MP,Ryan,Monique,Marie,Monique,M. M.,Kooyong,VIC,IND,Female,(02) 6277 4915,,145 Camberwell Road,,Hawthorn East,VIC,3123,(03) 9326 2900,,,PO Box 1227,Camberwell,VIC,3124,,,,,,
Dr,Dr,MP,Scamps,Sophie,Anna,Sophie,S. A.,Mackellar,NSW,IND,Female,(02) 6277 4936,,"Shop 1&2, 1238-1246 Pittwater Road",,Narrabeen,NSW,2101,(02) 9913 9566,,,,,,,,,,,,
Ms,Ms,MP,Scrymgour,Marion,Rose,Marion,M. R.,Lingiari,NT,ALP,Female,(02) 6277 4951,,"G3A & B, 12 Gregory Terrace",,Alice Springs,NT,870,(08) 8952 9696,,,PO Box 4007,Alice Springs,NT,870,,,,,,
Ms,Ms,MP,Sharkie,Rebekha,Carina Che,Rebekha,R. C. C.,Mayo,SA,CA,Female,(02) 6277 2113,,"Shop 3, Barker Plaza Shopping Centre",22-28 Hutchinson Street,MT Barker,SA,5251,(08) 8398 5566,,,PO Box 1601,Mt Barker,SA,5251,,,,,,
Hon,Mr,MP,Shorten,William,Richard,Bill,W. R.,Maribyrnong,VIC,ALP,Male,(02) 6277 7200,,"Suite 1A, 12 Hall Street",,Moonee Ponds,VIC,3039,(03) 9326 1300,(03) 9326 0611,,PO Box 214,Moonee Ponds,VIC,3039,,,,,,"Minister for the National Disability Insurance Scheme Minister for Government Services"
Ms,Ms,MP,Sitou,Sally,,Sally,S.,Reid,NSW,ALP,Female,(02) 6277 4942,,72 Burwood Road,,Burwood,NSW,2134,(02) 9715 7444,,,PO Box 2028,Burwood North,NSW,2134,,,,,,
Mr,Mr,MP,Smith,David,Philip Benedict,David,D. P. B,Bean,ACT,ALP,Male,(02) 6277 4346,,205 Anketell Street,,Tuggeranong,ACT,2900,(02) 6293 1344,,,205 Anketell Street,Tuggeranong,ACT,2900,,,,,Government Whip,
Ms,Ms,MP,Spender,Allegra,May,Allegra,A. M.,Wentworth,NSW,IND,Female,(02) 6277 4948,,Suite 302 Level 3,179-191 New South Head Road,Edgecliff,NSW,2027,(02) 9327 3988,,,PO Box 545,Edgecliff,NSW,2027,,,,,,
Ms,Ms,MP,Stanley,Anne,Maree,Anne,A. M.,Werriwa,NSW,ALP,Female,(02) 6277 2103,,"Shop 7, 441 Hoxton Park Road",,Hinchinbrook,NSW,2168,(02) 8783 0977,(02) 9825 0244,,PO Box 88,Hoxton Park,NSW,2171,,,,,Government Whip,
Ms,Ms,MP OAM,Steggall,Zali,,Zali,Z. ,Warringah,NSW,IND,Female,(02) 6277 4373,,Level 2,17-19 Sydney Road,Manly,NSW,2095,(02) 9977 6411,,,PO Box 450,Manly,NSW,2095,,,,,,
Mr,Mr,MP,Stevens,James,,James,J. ,Sturt,SA,LP,Male,(02) 6277 4020,,"Level 1, 85 The Parade",,Norwood,SA,5067,(08) 8431 2277,,,"Level 1, 85 The Parade",Norwood,SA,5067,,,,,,
Hon,Mr,MP,Sukkar,Michael,Sven,Michael,M. S.,Deakin,VIC,LP,Male,(02) 6277 4227,,5/602 Whitehorse Road,,Mitcham,VIC,3132,(03) 9874 1711,,,PO Box 232,Mitcham,VIC,3132,,,,,,
Ms,Ms,MP,Swanson,Meryl,Jane,,M. J.,Paterson,NSW,ALP,Female,(02) 6277 4248,,35 Sturgeon Street,,Raymond Terrace,NSW,2324,(02) 4983 2401,,,PO Box 156,Raymond Terrace,NSW,2324,,,,,,
Hon,Mr,MP,Taylor,Angus,James,Angus,A. J.,Hume,NSW,LP,Male,(02) 6277 4362,,7 Montague Street,,Goulburn,NSW,2580,,,,,,,,,,,,,
Hon,Mr,MP,Tehan,Daniel,Thomas,Dan,D. T.,Wannon,VIC,LP,Male,(02) 6277 4426,,190 Gray Street,,Hamilton,VIC,3300,(03) 5572 1100,,1300 131 692,190 Gray Street ,Hamilton,VIC,3300,,,,,,
Ms,Ms,MP,Templeman,Susan,Raye,Susan,S. R.,Macquarie,NSW,ALP,Female,(02) 6277 4784,,"Ground Floor, 299 George Street",,Windsor,NSW,2756,(02) 4573 8222,(02) 4573 8396,1300 519 482,PO Box 855,Windsor,NSW,2756,,,,,,
Hon,Mr,MP,Thistlethwaite,Matthew,James,Matt,M. J.,Kingsford Smith,NSW,ALP,Male,(02) 6277 4840,,Shop 6,205 Maroubra Road,Maroubra,NSW,2035,(02) 9349 6007,(02) 9349 8089,,PO Box 895,Maroubra,NSW,2035,,,,,,"Assistant Minister for Defence Assistant Minister for Veterans’ Affairs Assistant Minister for the Republic"
Mr,Mr,OAM MP,Thompson,Phillip,,Phillip,P. ,Herbert,QLD,LNP,Male,(02) 6277 4418,,G06 Nathan Business Centre,340 Ross River Road,Cranbrook,QLD,4814,(07) 4725 2066,,,PO Box 226,Aitkenvale BC,QLD,4814,,,,,,
Ms,Ms,MP,Thwaites,Kate,Lynne,Kate,K. L.,Jagajaga,VIC,ALP,Female,(02) 6277 4305,,2/37 Burgundy Street,,Heidelberg,VIC,3084,(03) 9459 1411,,,PO Box 316,Heidelberg,VIC,3084,,,,,,
Ms,Ms,MP,Tink,Kylea,Jane,Kylea,K. J.,North Sydney,NSW,IND,Female,(02) 6277 2108,,Suite 10.01,Level 10 Elizabeth Plaza,North Sydney,NSW,2060,(02) 9929 9822,,,,,,,,,,,,
Hon,Mr,MP,Tudge,Alan,Edward,Alan,A. E.,Aston,VIC,LP,Male,(02) 6277 4392,,"Suite 4, Level 1",420 Burwood Highway,Wantirna South,VIC,3152,(03) 9887 3890,,,"Suite 4, Level 1, 420 Burwood Highway",Wantirna South,VIC,3152,,,,,,
Ms,Ms,MP,Vamvakinou,Maria,,,M.,Calwell,VIC,ALP,Female,(02) 6277 4249,,"Level 2, Office 1",14 Dimboola Road,Broadmeadows,VIC,3047,(03) 9367 5216,(03) 9367 3064,,PO Box 3218,Broadmeadows,VIC,3047,,,,,,
Mr,Mr,MP,van Manen,Albertus,Johannes,Bert,A. J.,Forde,QLD,LNP,Male,(02) 6277 4088,,"Tenancy 1001F, first floor",114-118 George Street,Beenleigh,QLD,4207,(07) 3807 6340,(07) 3807 1990,,PO Box 884,Beenleigh,QLD,4207,,,,,Chief Opposition Whip,
Mr,Mr,MP,Vasta,Ross,Xavier,Ross,R. X.,Bonner,QLD,LNP,Male,(02) 6277 4632,,69 Clara Street,,Wynnum,QLD,4178,(07) 3893 3488,(07) 3893 3422,,69 Clara Street ,Wynnum,QLD,4178,,,,,,
Mr,Mr,MP,Violi,Aaron,Anthony,Aaron,A. A.,Casey,VIC,LP,Male,(02) 6277 4968,,"Suite 11, 1 East Ridge Drive",,Chirnside Park,VIC,3116,(03) 9727 0799,,,PO Box 40,Chirnside Park,VIC,3116,,,,,,
Mr,Mr,MP,Wallace,Andrew,Bruce,Andrew,A. B.,Fisher,QLD,LNP,Male,(02) 6277 4282,,"'The Edge' Upper Level East, Unit 11",10 Lake Kawana Boulevard,Bokarina,QLD,4575,(07) 5493 5556,,,PO Box 1224,Buddina,QLD,4575,,,,,,
Ms,Ms,MP,Ware,Jennifer,Lesley,Jenny,J. L.,Hughes,NSW,LP,Female,(02) 6277 2190,,"Shop 1, 9-15 East Parade",,Sutherland,NSW,2232,(02) 9521 6262,,,PO Box 1014,Sutherland,NSW,1499,,,,,,
Ms,Ms,MP,Watson-Brown,Elizabeth,,Elizabeth,E.,Ryan,QLD,AG,Female,(02) 6277 2172,,188 Moggill Road,,Taringa,QLD,4068,(07) 3378 1599,,,PO Box 704,Indooroopilly Centre,QLD,4068,,,,,,
Hon,Mr,MP,Watts,Timothy,Graham,Tim,T. G.,Gellibrand,VIC,ALP,Male,(02) 6277 4537,,Ground Floor Units 2 & 3,455 Melbourne Road,Newport,VIC,3015,(03) 9687 7661,(03) 9687 7151,,Ground Floor Units 2 & 3,Newport,VIC,3015,,,,,,Assistant Minister for Foreign Affairs
Dr,Dr,MP,Webster,Anne,Elizabeth,Anne,A. E.,Mallee,VIC,NATS,Female,(02) 6277 4027,,1/146A Eighth Street,,Mildura,VIC,3500,(03) 5021 5987,,,PO Box 1133,Mildura,VIC,3502,,,,,,
Hon,Ms,MP,Wells,Anika,Shay,Anika,A. S.,Lilley,QLD,ALP,Female,(02) 6277 7720,,Ground floor,1176 Sandgate Road,Nundah,QLD,4012,(07) 3266 8244,,,PO Box 182,Nundah,QLD,4012,,,,,,"Minister for Aged Care Minister for Sport"
Mr,Mr,MP,Wilkie,Andrew,Damien,Andrew,A. D.,Clark,TAS,IND,Male,(02) 6277 4766,,188 Collins Street,,Hobart,TAS,7001,(03) 6234 5255,,,PO Box 32,Hobart,TAS,7001,,,,,,
Mr,Mr,MP,Willcox,Andrew,John,Andrew,A. J.,Dawson,QLD,LNP,Male,(02) 6277 2104,,"Level 2, 45",Victoria Street,Mackay,QLD,4740,(07) 4944 0662,,,PO Box 1697,Mackay,QLD,4740,,,,,,
Mr,Mr,MP,Wilson,Joshua,Hamilton,Josh,J. H.,Fremantle,WA,ALP,Male,(02) 6277 2081,,"Office 12, Level 1",135 High Street Mall,Fremantle,WA,6160,(08) 9335 8555,,,PO Box 1224,Fremantle,WA,6160,,,,,,
Mr,Mr,MP,Wilson,Richard,James,Rick,R. J.,O'Connor,WA,LP,Male,(02) 6277 4101,,345 Hannan Street,,Kalgoorlie,WA,6430,(08) 9021 2044,(08) 9021 2033,,PO Box 10415,Kalgoorlie,WA,6430,,,,,,
Mr,Mr,MP,Wolahan,Keith,,Keith,K.,Menzies,VIC,LP,Male,(02) 6277 2146,,Level 1 651-653 Doncaster Road,,Doncaster,VIC,3108,(03) 9848 9900,,,PO Box 124,Doncaster,VIC,3108,,,,,,
Hon,Mr,MP,Wood,Jason,Peter,Jason,J. P.,La Trobe,VIC,LP,Male,(02) 6277 4982,,Unit 3,16 Langmore Lane,Berwick,VIC,3806,(03) 9768 9164,,,PO Box 539,Berwick,VIC,3806,,,,,,
Mr,Mr,MP,Young,Terry,James,Terry,T. J.,Longman,QLD,LNP,Male,(02) 6277 4030,,Unit A (Level 1),69 King Street,Caboolture,QLD,4510,(07) 5432 3177,,,PO Box 42,Caboolture,QLD,4510,,,,,,
Mr,Mr,MP,Zappia,Antonio,,Tony,A.,Makin,SA,ALP,Male,(02) 6277 4147,,959 North East Road,,Modbury,SA,5092,(08) 8265 3100,(08) 8265 3900,,PO Box 775,Modbury,SA,5092,,,,,,
