MCCID_GIS,the_geom,NAME,MCCID_STR,MAPLABEL,XDATE
10,"LINESTRING (144.989453665793 -37.821670405979, 144.990974188837 -37.821829859336)",RICHMOND  TCE,STREET_NAME_EXT_10000_Label,,20160122
8,"LINESTRING (144.989994729876 -37.818429688642, 144.991565863042 -37.818607849993)",SHERWOOD  ST,STREET_NAME_EXT_10000_Label,,20160122
141,"LINESTRING (144.912858693921 -37.77859372907, 144.913491347299 -37.779276551237)",EPSOM  RD,STREET_NAME_EXT_10000_Label,,20160122
48,"LINESTRING (144.956671414836 -37.842369451281, 144.957508174076 -37.842118126152, 144.957962757324 -37.84227992994, 144.958303262166 -37.842523704801)",KERFERD  PL,STREET_NAME_EXT_10000_Label,,20160122
267,"LINESTRING (144.939465145449 -37.843643276582, 144.943854536695 -37.838871560125)",DOW  ST,STREET_NAME_EXT_10000_Label,,20160122
3,"LINESTRING (144.961762653029 -37.793642188222, 144.961900480119 -37.793609497854, 144.962101743564 -37.793643750558, 144.962317449221 -37.79372263404, 144.962423235595 -37.793755826257, 144.96254234763 -37.793820018757, 144.96266017396 -37.793914649631, 144.962741783369 -37.79401310661, 144.962802736446 -37.794130140876, 144.962831639091 -37.794220944328, 144.962842788205 -37.794303979818, 144.962811802544 -37.79437267686, 144.9627636252 -37.794411866603, 144.962681940858 -37.794451875311, 144.962632602222 -37.794509603777, 144.962555370317 -37.794659160063, 144.962497359876 -37.794756146971, 144.962456903335 -37.794843615612, 144.962398107797 -37.795184214322, 144.962439884782 -37.795267015552, 144.962398067565 -37.795597958979, 144.962503897058 -37.795692795186, 144.962639920807 -37.795751665855, 144.962527073623 -37.796409723834)",MORRISON  CLOSE,Arcade_Label,Morrison  Close,20210528
109,"LINESTRING (144.991086227066 -37.83190321661, 144.991289999433 -37.830673133901, 144.99130996142 -37.8305654251, 144.991426002068 -37.829880074908, 144.991445231384 -37.829799366367, 144.991688666785 -37.828362863011, 144.991707896507 -37.828282153508, 144.99215338835 -37.825686615791)",DOVER  ST,STREET_NAME_EXT_10000_Label,,20160122
15,"LINESTRING (144.965433646996 -37.81640131808, 144.965247748834 -37.816011222833)",CENTREWAY  ARCADE,Arcade_Label,Centreway  Arcade,20210528
207,"LINESTRING (144.96906277637 -37.789454144639, 144.970169128543 -37.789575851382)",NEWRY  ST,STREET_NAME_EXT_10000_Label,,20160122
152,"LINESTRING (144.92920143937 -37.786961905509, 144.929459758687 -37.788016449015)",PIN OAK CRES,STREET_NAME_EXT_10000_Label,,20160122
287,"LINESTRING (144.979761713983 -37.866874142999, 144.980636108406 -37.866350272801)",ALBERT  ST,STREET_NAME_EXT_10000_Label,,20160122
1,"LINESTRING (144.986268492475 -37.840164848375, 144.986802070017 -37.84023517508, 144.987165384023 -37.838504615539)",RALSTON  ST,STREET_NAME_EXT_5000_Label,,20160122
20,"LINESTRING (144.989846457886 -37.825461091753, 144.99030286989 -37.82551895543)",LORETTO  ST,STREET_NAME_EXT_5000_Label,,20160122
236,"LINESTRING (144.94416348128 -37.835775006764, 144.944514717655 -37.835981547579)",SPRING  ST  WEST,STREET_NAME_EXT_10000_Label,,20160122
84,"LINESTRING (144.956736501176 -37.846121410248, 144.959510747671 -37.847577850749, 144.959804020864 -37.847732262627, 144.961133791688 -37.848423348823, 144.961427072885 -37.848577755948, 144.962766569431 -37.849276851484, 144.963029035164 -37.84947001781, 144.96431942804 -37.850152527046)",ERSKINE  ST,STREET_NAME_EXT_5000_Label,,20160122
71,"LINESTRING (144.974133805657 -37.864534457885, 144.975206573265 -37.863895669979)",WIMMERA  PL,STREET_NAME_EXT_5000_Label,,20160122
61,"LINESTRING (144.980050325752 -37.863632801827, 144.980426136708 -37.864029671841, 144.979331895972 -37.864677595183)",ALFRED  PL,STREET_NAME_EXT_5000_Label,,20160122
145,"LINESTRING (144.896960963821 -37.828794753436, 144.898243956122 -37.829549512446)",WESTGATE  FWY,STREET_NAME_EXT_10000_Label,,20160122
2,"LINESTRING (144.989801209827 -37.819582359538, 144.99093079877 -37.819718151753)",THE  CROFTS,STREET_NAME_EXT_5000_Label,,20160122
122,"LINESTRING (144.99081017999 -37.813797966859, 144.991966996608 -37.813919310939)",EGAN  ST,STREET_NAME_EXT_10000_Label,,20160122
72,"LINESTRING (144.964038922248 -37.782249787357, 144.964179602816 -37.781333511693)",GARTON  ST,STREET_NAME_EXT_10000_Label,,20160122
75,"LINESTRING (144.977002930366 -37.860990206702, 144.977366831611 -37.861394222556)",ENFIELD  ST,STREET_NAME_EXT_5000_Label,,20160122
131,"LINESTRING (144.98539379643 -37.844371324215, 144.98677813635 -37.844552788828)",MOFFAT  ST,STREET_NAME_EXT_10000_Label,,20160122
349,"LINESTRING (144.967786072275 -37.838006278381, 144.967765880466 -37.838012388524, 144.967746165871 -37.838020776958, 144.967590416995 -37.83810721871, 144.967560499186 -37.838123148608, 144.967441608918 -37.838183747326, 144.967320687571 -37.838241169361, 144.967197536045 -37.838295506794, 144.967072261091 -37.838346720908, 144.966945006252 -37.838394757403, 144.966815892456 -37.838439557981, 144.966684957272 -37.838481120583, 144.965912048899 -37.838706237622, 144.965912047764 -37.838706237602, 144.965822882835 -37.838732208827, 144.965705119559 -37.838766508277, 144.965630117196 -37.838790344992, 144.965538329528 -37.838821812887, 144.965484398115 -37.838841507786, 144.965372732118 -37.838885273658, 144.965262908005 -37.838932429027, 144.965155368687 -37.838982776087, 144.965050253466 -37.839036248764, 144.964948246945 -37.839092496625, 144.963914446125 -37.839684605651, 144.963877878076 -37.839707108975, 144.963849422321 -37.839728083628)",ALBERT  RD,STREET_NAME_EXT_10000_Label,,20160122
78,"LINESTRING (144.981063758475 -37.859492024162, 144.981389805995 -37.859852355645, 144.979433914988 -37.860997006423, 144.979113844777 -37.860646853666)",LITTLE GREY  ST,STREET_NAME_EXT_5000_Label,,20160122
67,"LINESTRING (144.950325855336 -37.77667783516, 144.950502047909 -37.775722941329)",MC VEAN  ST,STREET_NAME_EXT_10000_Label,,20160122
181,"LINESTRING (144.973761008891 -37.792703561568, 144.97395638841 -37.791539679921)",CANNING  ST,STREET_NAME_EXT_10000_Label,,20160122
72,"LINESTRING (144.973244155736 -37.86478729627, 144.973904928943 -37.864409581894, 144.974627209509 -37.865179177009, 144.974302736587 -37.865394429195)",ALFRED  SQ,STREET_NAME_EXT_5000_Label,,20160122
197,"LINESTRING (144.977550062939 -37.848328614393, 144.979272348957 -37.853341955081, 144.979410517414 -37.853670740783, 144.979560191133 -37.853937549194, 144.979750360941 -37.854158423088, 144.979874438572 -37.854284900936, 144.980056290499 -37.854451229592, 144.980277152941 -37.854625999071, 144.980556638851 -37.854809546551, 144.980836762055 -37.854969789166, 144.981098123805 -37.855098622469, 144.982020554585 -37.85544862777)",QUEENS  RD,STREET_NAME_EXT_10000_Label,,20160122
25,"LINESTRING (144.967485741731 -37.812841042705, 144.967392738318 -37.812633938395, 144.967234840231 -37.812277042108, 144.967226340598 -37.812219626499, 144.967205644796 -37.812174712338, 144.967196971485 -37.812123588448, 144.96715023015 -37.812018260336)",MIDCITY  ARCADE,Arcade_Label,Midcity  Arcade,20210528
338,"LINESTRING (144.959890224571 -37.82846152014, 144.960725565096 -37.830296182347)",CLARKE  ST,STREET_NAME_EXT_10000_Label,,20160122
163,"LINESTRING (144.948906760615 -37.827774150686, 144.949025467146 -37.827075659218)",FORD  ST,STREET_NAME_EXT_10000_Label,,20160122
106,"LINESTRING (144.995562350251 -37.83702161429, 144.995915113444 -37.837298862671)",FOREST  HILL,STREET_NAME_EXT_10000_Label,,20160122
353,"LINESTRING (144.981675962776 -37.865292061343, 144.982270620061 -37.865369801116)",BLANCHE  ST,STREET_NAME_EXT_10000_Label,,20160122
6,"LINESTRING (144.987999749 -37.831558847363, 144.988772725374 -37.831657850493)",DOBSON  ST,STREET_NAME_EXT_5000_Label,,20160122
3,"LINESTRING (144.988844358499 -37.825318205569, 144.989714523562 -37.825415697045)",ROUT  ST,STREET_NAME_EXT_5000_Label,,20160122
276,"LINESTRING (144.978122263731 -37.867128767655, 144.977552769078 -37.867101931801, 144.977262880043 -37.86707989985, 144.977017170455 -37.867016007508, 144.976558713828 -37.866863214587, 144.975621694664 -37.866506133477, 144.975313564062 -37.866364446383, 144.974752473889 -37.866030875051, 144.973980746208 -37.865531716075, 144.973187247899 -37.864983566274, 144.972934996553 -37.864766118672, 144.972705186424 -37.864514960402, 144.972539198691 -37.864290474539, 144.972479813686 -37.864101920685, 144.972463909301 -37.863897069298, 144.972469978654 -37.863675547195, 144.972589401042 -37.862850769577)",THE  ESPLANADE,STREET_NAME_EXT_10000_Label,,20160122
206,"LINESTRING (144.969201472791 -37.788513038614, 144.97038687391 -37.788631812963)",CURTAIN  ST,STREET_NAME_EXT_10000_Label,,20160122
360,"LINESTRING (144.954173848888 -37.847063351936, 144.964551360173 -37.852493382514)",PAGE  ST,STREET_NAME_EXT_10000_Label,,20160122
274,"LINESTRING (144.975511613579 -37.866208187447, 144.980597575463 -37.863194771658)",ROBE  ST,STREET_NAME_EXT_10000_Label,,20160122
75,"LINESTRING (144.968026802432 -37.785281096068, 144.968218273764 -37.784077540152)",McILWRAITH  ST,STREET_NAME_EXT_10000_Label,,20160122
201,"LINESTRING (144.964926611789 -37.834415471515, 144.966143896518 -37.834983623612)",HEATHER  ST,STREET_NAME_EXT_10000_Label,,20160122
214,"LINESTRING (144.975329180838 -37.796383622045, 144.97685491865 -37.796543888033)",KERR  ST,STREET_NAME_EXT_10000_Label,,20160122
15,"LINESTRING (144.988383066677 -37.840007610339, 144.988767691478 -37.840058949821)",MACFARLAN  LA,STREET_NAME_EXT_5000_Label,,20160122
143,"LINESTRING (144.906074755098 -37.805691392442, 144.907545606294 -37.806133649443)",NAPIER  ST,STREET_NAME_EXT_10000_Label,,20160122
51,"LINESTRING (144.940341741476 -37.839403403036, 144.940691000508 -37.839029943389)",BARLOW  ST,STREET_NAME_EXT_5000_Label,,20160122
280,"LINESTRING (144.982074004996 -37.863090940066, 144.984942769563 -37.863477903261)",CHARLES  ST,STREET_NAME_EXT_10000_Label,,20160122
100,"LINESTRING (144.972367732888 -37.835651423907, 144.972987747387 -37.835425979777, 144.973373634933 -37.8352626159, 144.973615137159 -37.835148711974, 144.973778812313 -37.835047636334, 144.974180096574 -37.83475702846)",BOWEN  CR,STREET_NAME_EXT_10000_Label,,20160122
155,"LINESTRING (144.924626124084 -37.787506674878, 144.924785454235 -37.786617595005)",GLANCE  ST,STREET_NAME_EXT_10000_Label,,20160122
142,"LINESTRING (144.906704983122 -37.783427651553, 144.907526396174 -37.782940059905)",LANGS  RD,STREET_NAME_EXT_10000_Label,,20160122
359,"LINESTRING (144.964762317751 -37.855478189538, 144.967688040626 -37.851960165231)",LANGRIDGE  ST,STREET_NAME_EXT_10000_Label,,20160122
108,"LINESTRING (144.991163745137 -37.825495858622, 144.992333719751 -37.825631677597)",STEPHENSON  ST,STREET_NAME_EXT_10000_Label,,20160122
24,"LINESTRING (144.97451900207 -37.839542820042, 144.97623107857 -37.83915176166)",ARTHUR  ST,STREET_NAME_EXT_10000_Label,,20160122
243,"LINESTRING (144.943289801413 -37.842902411841, 144.948221023178 -37.845533897236, 144.952472494653 -37.847731459)",DANKS  ST,STREET_NAME_EXT_10000_Label,,20160122
264,"LINESTRING (144.951525968834 -37.844880621543, 144.954119766335 -37.846238398154)",DINSDALE  ST,STREET_NAME_EXT_10000_Label,,20160122
12,"LINESTRING (144.955502012232 -37.826704233802, 144.95564837743 -37.826539815947, 144.955804920977 -37.826383040842, 144.956797182775 -37.825580334217)",ST KILDA  AND  PORT  MELBOURNE  LIGHT  RAILWAY,Tramway_Label,St Kilda  and  Port  Melbourne  Light  Railway,20180921
24,"LINESTRING (144.940931771804 -37.805819856885, 144.942571378872 -37.807890455809, 144.944863082568 -37.810977192478, 144.945665346058 -37.811711633479)",NORTH  MELBOURNE  RAILWAY,Railway_Label,North  Melbourne  Railway,20180921
4,"LINESTRING (144.93654515 -37.798488394571, 144.936879501793 -37.799699436992, 144.937514915969 -37.80196935643, 144.937645244512 -37.802299714029, 144.937760725011 -37.802559154925, 144.937838022473 -37.802719431467, 144.937882747907 -37.802799459398, 144.938079971243 -37.803063887419, 144.938348117608 -37.803332914597, 144.938565615999 -37.803536827, 144.938765263192 -37.803715336961, 144.939077872543 -37.804031790945, 144.939402938987 -37.804328857963, 144.939864998754 -37.804760707798, 144.940768488794 -37.805635929658)",ARDEN  SIDING  RAILWAY,Railway_Label,Arden  Siding  Railway,20180921
13,"LINESTRING (144.95288601234 -37.828019749587, 144.954025134505 -37.827487507758, 144.954403020972 -37.827308716325, 144.954712255716 -37.827149947361, 144.954936006314 -37.827019926174, 144.955222255407 -37.826839314959)",PORT  MELBOURNE  LIGHT  RAILWAY,Tramway_Label,Port  Melbourne  Light  Railway,20180921
14,"LINESTRING (144.975500651444 -37.81830230404, 144.9756008419 -37.818296610891, 144.975947038795 -37.818264061622, 144.976104941771 -37.818248309886, 144.976243880824 -37.818234320922, 144.976367992742 -37.818224861314, 144.976457361374 -37.818232937971, 144.976533893736 -37.818255967088, 144.976592371468 -37.818285861965, 144.977540966457 -37.818846214645, 144.977825458084 -37.819001838166, 144.978335991399 -37.819258056723, 144.979643138992 -37.819909361029, 144.980265470905 -37.82027723862, 144.98057902862 -37.820509784827, 144.981438164367 -37.821198482317, 144.981851856973 -37.82149322889, 144.9822956172 -37.821800925549, 144.982553883658 -37.82196134135, 144.982913349112 -37.822146541559, 144.983618587693 -37.822496489922, 144.983936945821 -37.82263385146, 144.984490646494 -37.822831647559, 144.985037613877 -37.822992910157, 144.985876597036 -37.823235736361, 144.986119328367 -37.823312167382, 144.986644530539 -37.823497060371, 144.986730223541 -37.823533815824, 144.986808678019 -37.823590491444, 144.986848101691 -37.823665617242, 144.986834879584 -37.823800995901, 144.986782753948 -37.824055310965, 144.986760667889 -37.824174463733, 144.986759364289 -37.824223184346, 144.986781830634 -37.824288154109, 144.986813113188 -37.82433059107)",MELBOURNE  PARK  TRAMWAY,Tramway_Label,Melbourne  Park  Tramway,20180921
22,"LINESTRING (144.933611459636 -37.805101306966, 144.933265252142 -37.805013447045, 144.933073694973 -37.804970672077, 144.932809844489 -37.804922437269, 144.932580550241 -37.804889705862, 144.932214238602 -37.804851623045, 144.928925152483 -37.804617908616, 144.92868125423 -37.804604747584, 144.928281445947 -37.804604017118, 144.928016749202 -37.804610525456, 144.92554948078 -37.804697273547, 144.925281756242 -37.804703107785, 144.925003437451 -37.80470081, 144.924794432189 -37.804691838822, 144.924550214225 -37.804672838422, 144.919733052805 -37.804146098576, 144.919360849328 -37.804106767824, 144.919063280566 -37.804091845538, 144.918752464248 -37.804100303543, 144.918543773838 -37.804117226501, 144.918304780053 -37.804146344228, 144.917998877499 -37.804196029154, 144.917587813176 -37.804281016111, 144.917218661504 -37.804358659446, 144.916601420891 -37.804488524084, 144.916365565249 -37.804530143037, 144.915509180577 -37.804616313265, 144.91447701047 -37.804713197053, 144.914163777773 -37.804736950632, 144.913583013252 -37.804765633938, 144.912457465343 -37.804823753264, 144.911959361825 -37.804819846811, 144.911225814981 -37.804757059317, 144.910675429414 -37.80469560224, 144.910040814209 -37.804585936469, 144.908711761452 -37.80423666508, 144.907873661968 -37.803986384268)",SOUTH  DYNON  RAILWAY,Railway_Label,South  Dynon  Railway,20180921
32,"LINESTRING (144.970350408436 -37.813322153839, 144.970468668714 -37.813577275171, 144.970876044146 -37.813726602688, 144.971018489399 -37.814033896645)",BENSON  WALK,Arcade_Label,Benson  Walk,20210528
10,"LINESTRING (144.915612191791 -37.802405181815, 144.916593402294 -37.801827671178, 144.917177915612 -37.801490898011, 144.917744276174 -37.801168865755, 144.918846508834 -37.800528758084, 144.920313930263 -37.79968298993, 144.920456036522 -37.799608045568, 144.920600076408 -37.799541086211, 144.920721472355 -37.79948902425, 144.920849977464 -37.799443896031, 144.921033435822 -37.799391932782, 144.921204538758 -37.799354746639, 144.921448799795 -37.799321519016, 144.921699799816 -37.799311025627, 144.922186747091 -37.799344826949)",NORTH  DYNON  RAILWAY,Railway_Label,North  Dynon  Railway,20180921
5,"LINESTRING (144.945853542529 -37.811855330404, 144.946384555115 -37.812287655983, 144.947068927677 -37.812794285618, 144.947676698485 -37.813259259501, 144.94812655967 -37.813723263895, 144.948876788219 -37.814670561185, 144.949200298076 -37.815061737285, 144.949560032203 -37.815490984396, 144.949873868861 -37.815843464149, 144.950348026199 -37.816456117309, 144.952550559737 -37.819424080604)",SOUTHERN  CROSS  RAILWAY,Railway_Label,Southern  Cross  Railway,20180921
20,"LINESTRING (144.949916939934 -37.781010006773, 144.950794910701 -37.780930993137, 144.950953479875 -37.780915982424, 144.951119131678 -37.780877499143, 144.951241656943 -37.780798731666, 144.951313845315 -37.780704857103, 144.95134892574 -37.780568079889, 144.951369845156 -37.780249945569, 144.951368672564 -37.780084744519, 144.951358347081 -37.779892535447, 144.951322974487 -37.779640653526, 144.951284519928 -37.779445872544, 144.951221132157 -37.779226988388, 144.951147959678 -37.779010247317, 144.951070659117 -37.77882032106, 144.950970399476 -37.778620382472, 144.950880157669 -37.778461568551, 144.950770298898 -37.778289516495, 144.950683007951 -37.778166909963, 144.950582408261 -37.778037478776, 144.950479269315 -37.777915026207, 144.950342218712 -37.777758302775, 144.950161777849 -37.77755804961, 144.949545027888 -37.776865786366)",WEST  COBURG  TRAMWAY,Tramway_Label,West  Coburg  Tramway,20180921
21,"LINESTRING (144.954563600602 -37.828396728273, 144.95467700584 -37.828057646033, 144.954841621558 -37.827679696203, 144.954948585756 -37.827478180244, 144.955055549733 -37.82729866721, 144.955227112869 -37.827047716279, 144.955369037768 -37.826864298845)",ST KILDA  LIGHT  RAILWAY,Tramway_Label,St Kilda  Light  Railway,20180921
25,"LINESTRING (144.95275294168 -37.81956328312, 144.952973569666 -37.819895634754, 144.95316903613 -37.820129466635, 144.953312846928 -37.820273648195, 144.953558841288 -37.820463538784, 144.953883738379 -37.820718759075, 144.954140259865 -37.820904252548, 144.954375791976 -37.821039172811, 144.954562553784 -37.821124730674)",SOUTHERN  CROSS  RAILWAY,Railway_Label,Southern  Cross  Railway,20180921
124,"LINESTRING (144.947101677723 -37.808735391988, 144.946968229237 -37.80861182499)",PL5134,Street_Label_1000,PL5134,20210923
230,"LINESTRING (144.973778411798 -37.813366800814, 144.971631864016 -37.813997731167, 144.971311674525 -37.814093155895, 144.969161340458 -37.814726430179, 144.968844308316 -37.814816053928, 144.96669644339 -37.815447291233, 144.966371649079 -37.815538604484, 144.96422346196 -37.816170424037, 144.963898213346 -37.816262792218, 144.961746759357 -37.816885533782, 144.961426865022 -37.816979977528, 144.959275126687 -37.817605281817, 144.958952210598 -37.817696077899, 144.956786478781 -37.818310294761, 144.956466445258 -37.818403036338, 144.954323806942 -37.819019832214)",COLLINS  STREET,Street_Label_15000,Collins  Street,20210923
494,"LINESTRING (144.958567399957 -37.813496800859, 144.958943318234 -37.814308651135)",PL5257,Street_Label_1000,PL5257,20210923
507,"LINESTRING (144.928205136312 -37.796426265926, 144.928293846995 -37.796522350615)",PL5369,Street_Label_1000,PL5369,20210923
1162,"LINESTRING (144.960323996454 -37.815216745229, 144.960449586271 -37.815486294006)",MICHAEL  LANE,Street_Label_2000,Michael  Lane,20210923
482,"LINESTRING (144.960251202039 -37.812020106925, 144.960434075193 -37.811967014239)",CL0034,Street_Label_1000,CL0034,20210923
668,"LINESTRING (144.920911529693 -37.791112628475, 144.921024091406 -37.79122576804, 144.920988449598 -37.791248099839, 144.921132665578 -37.79139306339)",SMORGON  SQUARE,Street_Label_2000,Smorgon  Square,20210923
433,"LINESTRING (144.933108979632 -37.797777347439, 144.934446747348 -37.797931309257)",CL0178,Street_Label_2000,CL0178,20210923
44,"LINESTRING (144.944196814417 -37.820570477863, 144.944488117702 -37.820486219768)",MERCHANT  LANE,Street_Label_1000,Merchant  Lane,20210923
738,"LINESTRING (144.96908713001 -37.812146149934, 144.969170837421 -37.812122457129, 144.968960026535 -37.811656180286, 144.968784490935 -37.811705096248)",CROFT  ALLEY,Street_Label_2000,Croft  Alley,20210923
96,"LINESTRING (144.942580950656 -37.802134838959, 144.943256950298 -37.800374505508)",MUNSTER  TERRACE,Street_Label_10000,Munster  Terrace,20210923
1122,"LINESTRING (144.962070909779 -37.814145431371, 144.961811504312 -37.813578552806)",WARBURTON  LANE,Street_Label_2000,Warburton  Lane,20210923
7,"LINESTRING (144.951459361981 -37.781191768923, 144.952770989732 -37.781191645653, 144.953245934159 -37.781182317961, 144.953620246061 -37.781165239021, 144.953880725836 -37.781144652139, 144.954253334942 -37.781106506278, 144.954552122265 -37.781066831217, 144.954829204921 -37.781011191721, 144.955133540146 -37.780928517121, 144.955414118872 -37.780835346043, 144.955817474957 -37.780679189612, 144.956121115943 -37.780535070584, 144.956471047176 -37.780336861257, 144.956802685824 -37.780117464926, 144.957068106274 -37.779890552273, 144.95732107638 -37.779617694514, 144.957487698183 -37.779394687147, 144.957576018681 -37.779258640995, 144.957756212717 -37.778931550695, 144.957846848426 -37.778729164455, 144.95796334462 -37.778382417685, 144.95808513883 -37.777868679342)",UPFIELD  RAILWAY,Railway_Label,Upfield  Railway,20180921
3,"LINESTRING (144.937636679037 -37.806985053507, 144.941560601218 -37.808468699068)",MELBOURNE  GOODS  RAILWAY,Railway_Label,Melbourne  Goods  Railway,20180921
361,"LINESTRING (144.928143132572 -37.794464256941, 144.92802586523 -37.794530722649, 144.927980564926 -37.794562211073)",CL1700,Street_Label_1000,CL1700,20210923
340,"LINESTRING (144.930601777052 -37.802374357932, 144.930773230993 -37.802561390298, 144.930714146072 -37.802939420474)",BROWNS  HILL  PLACE,Street_Label_1000,Browns  Hill  Place,20210923
228,"LINESTRING (144.970933445781 -37.807517694637, 144.970397929904 -37.807673921156, 144.968932042596 -37.808101548359, 144.96860526172 -37.808196965913, 144.966457470707 -37.808822554354, 144.966134833612 -37.80891914497, 144.963983663833 -37.809554047526, 144.963659274359 -37.809646387066, 144.961518904635 -37.810272291929, 144.96119941866 -37.810366229775, 144.959057838801 -37.810992266611, 144.958735270976 -37.811087471696, 144.956578197145 -37.811717831683, 144.956257104679 -37.811805236895, 144.954081544009 -37.81242087846, 144.953757677227 -37.812511128546, 144.951599451959 -37.813121014074, 144.951275425338 -37.813214158048, 144.950178789621 -37.813524490269, 144.949783590019 -37.813648378217, 144.947914032588 -37.81419186535, 144.947535061686 -37.814299269351, 144.945132821128 -37.81499301408)",LA TROBE  STREET,Street_Label_15000,La Trobe  Street,20210923
148,"LINESTRING (144.943420415638 -37.790198333401, 144.941412169054 -37.788610698609, 144.94110596246 -37.788195170215, 144.940983814644 -37.788006327307, 144.940923723759 -37.78788542811, 144.940873219975 -37.787761798039, 144.940832498626 -37.787635915378, 144.940802081045 -37.787541139443, 144.940627679799 -37.786997733942)",FLEMINGTON  ROAD,Street_Label_15000,Flemington  Road,20210923
323,"LINESTRING (144.968312929775 -37.810905440882, 144.968177547205 -37.810944953769, 144.968272789559 -37.81114730098)",CL1606,Street_Label_1000,CL1606,20210923
417,"LINESTRING (144.976099860287 -37.810918802822, 144.975944421235 -37.81181827332)",CL1643,Street_Label_2000,CL1643,20210923
207,"LINESTRING (144.955368126452 -37.80945120011, 144.955483698833 -37.809737071667, 144.956360110786 -37.811631782156, 144.956475191387 -37.811891287523, 144.957248067559 -37.813589105376, 144.957368704737 -37.813842616121, 144.957740592845 -37.814646494146, 144.957783549824 -37.814753425556, 144.958147733603 -37.815554079436, 144.958265958742 -37.81580827468, 144.958623708598 -37.816590639718, 144.958674979655 -37.816700877165, 144.959054199513 -37.817524383161, 144.959173138155 -37.817776976755, 144.959959031579 -37.819478128531)",WILLIAM  STREET,Street_Label_15000,William  Street,20210923
356,"LINESTRING (144.96830277671 -37.830136193061, 144.967201989629 -37.830455939395)",WELLS  PLACE,Street_Label_2000,Wells  Place,20210923
407,"LINESTRING (144.920028888835 -37.796709482939, 144.920495389868 -37.797220079836)",HODGSON  LANE,Street_Label_2000,Hodgson  Lane,20210923
67,"LINESTRING (144.93123303346 -37.79730288731, 144.929510579179 -37.798313391158)",TENNYSON  STREET,Street_Label_15000,Tennyson  Street,20210923
252,"LINESTRING (144.944506699288 -37.792294471875, 144.944544586156 -37.792065231373, 144.942824935366 -37.791385348603, 144.94260677345 -37.791360081528)",LITTLE CURRAN  STREET,Street_Label_2000,Little Curran  Street,20210923
357,"LINESTRING (144.969263776925 -37.829856736395, 144.970371612095 -37.829534386706)",WELLS  PLACE,Street_Label_2000,Wells  Place,20210923
151,"LINESTRING (144.927822908646 -37.793800134447, 144.928820545384 -37.79391254349)",LINDSAY  LANE,Street_Label_10000,Lindsay  Lane,20210923
217,"LINESTRING (144.954195780253 -37.805327831819, 144.954213406464 -37.805224049535)",PL5346,Street_Label_1000,PL5346,20210923
148,"LINESTRING (144.957836874962 -37.810227758514, 144.958042949445 -37.810686636836)",CL1611,Street_Label_1000,CL1611,20210923
1131,"LINESTRING (144.960410793345 -37.81296649783, 144.960530724236 -37.813216935546)",GOLDIE  PLACE,Street_Label_2000,Goldie  Place,20210923
1035,"LINESTRING (144.956942696816 -37.819440882886, 144.954793218583 -37.820050370556)",FLINDERS  LANE,Street_Label_2000,Flinders  Lane,20210923
182,"LINESTRING (144.943288625708 -37.801696311652, 144.943256499875 -37.801891923675)",PT5230,Street_Label_1000,PT5230,20210923
22,"LINESTRING (144.94018894278 -37.78829053171, 144.938868325289 -37.795334304239)",BOUNDARY  ROAD,Street_Label_15000,Boundary  Road,20210923
865,"LINESTRING (144.943140438154 -37.805906241568, 144.943411696526 -37.805938767085, 144.943436798153 -37.80594924456, 144.943450599056 -37.805993761175, 144.943448202089 -37.806019567692, 144.943354266316 -37.806155492236, 144.94310129588 -37.806125882308)",CL1412,Street_Label_2000,CL1412,20210923
1307,"LINESTRING (144.939175816082 -37.820267246875, 144.939004045102 -37.820718313553)",DUNIRA LANE,Street_Label_2000,Dunira  Lane,20210923
947,"LINESTRING (144.930184325446 -37.795131214677, 144.930033867306 -37.794964716074, 144.930199393641 -37.794872830929, 144.930422868504 -37.794848233541)",CL0201,Street_Label_2000,CL0201,20210923
319,"LINESTRING (144.945053530071 -37.82632505769, 144.946221009701 -37.826508682771)",FREEWAY   ENTRANCE   RAMP,Street_Label_15000,Freeway   Entrance   Ramp,20210923
1021,"LINESTRING (144.95577499547 -37.804528524571, 144.955774922571 -37.804528779239, 144.955744571705 -37.804706386029, 144.955734182789 -37.804746988401)",PL5153,Street_Label_2000,PL5153,20210923
934,"LINESTRING (144.919268387688 -37.793418608617, 144.919126462108 -37.793400651269, 144.918717301601 -37.793636040871)",FRANCIS  LANE,Street_Label_2000,Francis  Lane,20210923
83,"LINESTRING (144.933215695938 -37.789621864982, 144.933351139863 -37.788914857612)",CL185,Street_Label_2000,CL185,20210923
540,"LINESTRING (144.954435169022 -37.800321007828, 144.954844211358 -37.80064247513)",BRIGHTSIDE  PLACE,Street_Label_2000,Brightside  Place,20210923
150,"LINESTRING (144.93992716924 -37.798686470788, 144.937240728754 -37.798391414971)",GREEN  STREET,Street_Label_15000,Green  Street,20210923
239,"LINESTRING (144.946188616041 -37.801798267746, 144.94622274003 -37.801579729537)",BEATONS  LANE,Street_Label_2000,Beatons  Lane,20210923
188,"LINESTRING (144.924618064105 -37.796006577707, 144.925796864353 -37.797282743734, 144.925919630957 -37.797415649045, 144.927012602122 -37.798598843144, 144.9271496443 -37.79874584321, 144.927666705677 -37.799303930677)",ALTONA  STREET,Street_Label_15000,Altona  Street,20210923
